arm_a,arm_b,roc_auc_diff,roc_auc_diff_ci_low,roc_auc_diff_ci_high,roc_auc_prob_a_better,roc_auc_prob_a_worse,roc_auc_significant,average_precision_diff,average_precision_diff_ci_low,average_precision_diff_ci_high,average_precision_prob_a_better,average_precision_prob_a_worse,average_precision_significant
cnn_lr3e-4,gru_lr1e-4,-0.020959436893463135,-0.029372934997081757,-0.012713529169559482,0.0,1.0,True,-0.021673858165740967,-0.03236102759838104,-0.0108297735452652,0.0,1.0,True
cnn_lr3e-4,gru_lr3e-5,-0.0332181453704834,-0.043713842332363126,-0.022772690653800966,0.0,1.0,True,-0.029878675937652588,-0.0426296204328537,-0.016360402107238773,0.0,1.0,True
cnn_lr3e-4,gru_lr3e-4,0.013208150863647461,0.005151420831680298,0.021423564851284018,0.9985,0.0015,True,0.01705777645111084,0.0063469186425209045,0.02804387509822843,0.9985,0.0015,True
cnn_lr3e-4,attention_lr1e-4,-0.03742861747741699,-0.04790365546941757,-0.027338951826095585,0.0,1.0,True,-0.04070037603378296,-0.053441783785820006,-0.028399634361267093,0.0,1.0,True
cnn_lr3e-4,attention_lr3e-5,-0.04381531476974487,-0.05481031090021134,-0.03309540152549744,0.0,1.0,True,-0.043813228607177734,-0.056526222825050355,-0.031309749186038974,0.0,1.0,True
cnn_lr3e-4,attention_lr3e-4,-0.01932072639465332,-0.02770310193300247,-0.011645868420600895,0.0,1.0,True,-0.021267712116241455,-0.03158146142959595,-0.011070120334625243,0.0,1.0,True
cnn_lr3e-4,attention_pe_lr1e-4,-0.03333932161331177,-0.04431334286928177,-0.02234642207622529,0.0,1.0,True,-0.028823494911193848,-0.0425197497010231,-0.015146704018116,0.0,1.0,True
cnn_lr3e-4,attention_pe_lr3e-5,-0.04841268062591553,-0.059976592659950256,-0.03757157623767854,0.0,1.0,True,-0.04506182670593262,-0.05868124663829803,-0.03189481496810914,0.0,1.0,True
cnn_lr3e-4,attention_pe_lr3e-4,0.01451331377029419,-0.0009082645177841186,0.02967859804630279,0.966,0.034,False,0.028880596160888672,0.005389316380023957,0.05252219587564468,0.994,0.006,True
gru_lr1e-4,gru_lr3e-5,-0.012258708477020264,-0.020932994782924652,-0.0038471177220344554,0.0045,0.9955,True,-0.008204817771911621,-0.01925041973590851,0.002414922416210169,0.066,0.934,False
gru_lr1e-4,gru_lr3e-4,0.034167587757110596,0.025599369406700136,0.042620630562305445,1.0,0.0,True,0.03873163461685181,0.025869084894657134,0.052076528966426845,1.0,0.0,True
gru_lr1e-4,attention_lr1e-4,-0.016469180583953857,-0.025228697061538696,-0.00783485770225527,0.0,1.0,True,-0.019026517868041992,-0.03078926056623459,-0.00834881365299225,0.0005,0.9995,True
gru_lr1e-4,attention_lr3e-5,-0.02285587787628174,-0.03200296312570572,-0.013664191961288458,0.0,1.0,True,-0.022139370441436768,-0.03295356184244156,-0.0116498202085495,0.0,1.0,True
gru_lr1e-4,attention_lr3e-4,0.0016387104988098145,-0.0065373659133911135,0.00956384390592575,0.6395,0.3605,False,0.0004061460494995117,-0.010531127452850342,0.01127636581659317,0.514,0.486,False
gru_lr1e-4,attention_pe_lr1e-4,-0.012379884719848633,-0.02212635725736618,-0.0028444036841392666,0.0055,0.9945,True,-0.007149636745452881,-0.01906660944223404,0.004985648393630979,0.1105,0.8895,False
gru_lr1e-4,attention_pe_lr3e-5,-0.027453243732452393,-0.03704826384782791,-0.018132892251014714,0.0,1.0,True,-0.02338796854019165,-0.035232003033161166,-0.012245914340019233,0.0,1.0,True
gru_lr1e-4,attention_pe_lr3e-4,0.035472750663757324,0.021599443256855012,0.0500292345881462,1.0,0.0,True,0.05055445432662964,0.02887042611837387,0.07497490346431732,1.0,0.0,True
gru_lr3e-5,gru_lr3e-4,0.04642629623413086,0.03519539684057236,0.05781437307596205,1.0,0.0,True,0.04693645238876343,0.030567872524261474,0.06230906695127487,1.0,0.0,True
gru_lr3e-5,attention_lr1e-4,-0.004210472106933594,-0.013084340095520019,0.0046447694301605166,0.1795,0.8205,False,-0.010821700096130371,-0.02287259101867676,0.0006330892443656812,0.032,0.968,False
gru_lr3e-5,attention_lr3e-5,-0.010597169399261475,-0.018815572559833526,-0.002042526006698612,0.006,0.994,True,-0.013934552669525146,-0.024811117351055144,-0.003124332427978518,0.0075,0.9925,True
gru_lr3e-5,attention_lr3e-4,0.013897418975830078,0.0041326358914375305,0.023353676497936245,0.9995,0.0005,True,0.008610963821411133,-0.003857924044132232,0.020796538889408103,0.908,0.092,False
