head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
mlp,last,argmax,16,0.36391204595565796,0.3388741612434387,0.39044731855392456,-0.10159211605787277,-0.12509477138519287,-0.0773313120007515,0.0009995002498750624,0.035982008995502246,1319
mlp,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
mlp,last,weighted_vote,2,0.3330553472042084,0.3148180484771729,0.35181954577565194,0.02414708025753498,0.018990710843354464,0.02952994406223297,0.0009995002498750624,0.035982008995502246,1319
mlp,last,weighted_vote,4,0.36698251962661743,0.3465475633740425,0.3882884860038757,-0.007316148839890957,-0.014140448137186467,-0.0004539421344816271,0.041979010494752625,0.335832083958021,1319
mlp,last,weighted_vote,8,0.41394996643066406,0.38972516134381296,0.4373398371040821,-0.017323730513453484,-0.026157127181068062,-0.007882866868749271,0.0009995002498750624,0.035982008995502246,1319
mlp,last,weighted_vote,16,0.4632297158241272,0.43517816066741943,0.4905231297016144,-0.0022744503803551197,-0.019711902365088463,0.01440485194325447,0.8345827086456772,1.0,1319
cnn,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
cnn,min,argmax,2,0.3282410800457001,0.31057240888476373,0.3467408962547779,0.019332828000187874,0.01410159282386303,0.024640826042741534,0.0009995002498750624,0.035982008995502246,1319
cnn,min,argmax,4,0.34219107031822205,0.32353962063789365,0.36122157573699953,-0.032107654958963394,-0.04063684493303299,-0.023690295265987527,0.0009995002498750624,0.035982008995502246,1319
cnn,min,argmax,8,0.34886276721954346,0.32767153307795527,0.36956406235694883,-0.08241091668605804,-0.0959078848361969,-0.06792456526309255,0.0009995002498750624,0.035982008995502246,1319
